denomination,variety_name,diameter,weight,composition,year,mint_name,mintage,notes
25 ct.,Draped Bust - Small eagle reverse,27.50,6.74,89+24Silver10+76Copper,1796,Philadelphia,6.146,
25 ct.,Draped Bust - Heraldic eagle reverse,27.50,6.74,89+24Silver10+76Copper,1804,Philadelphia,6.738,
25 ct.,Draped Bust - Heraldic eagle reverse,27.50,6.74,89+24Silver10+76Copper,1805,Philadelphia,121.394,
25 ct.,Draped Bust - Heraldic eagle reverse,27.50,6.74,89+24Silver10+76Copper,1806,Philadelphia,206.124,
25 ct.,Draped Bust - Heraldic eagle reverse,27.50,6.74,89+24Silver10+76Copper,1807,Philadelphia,220.643,
25 ct.,Liberty Cap,27.00,6.74,89+24Silver10+76Copper,1815,Philadelphia,89.235,
25 ct.,Liberty Cap,27.00,6.74,89+24Silver10+76Copper,1818,Philadelphia,361.174,
25 ct.,Liberty Cap,27.00,6.74,89+24Silver10+76Copper,1819,Philadelphia,144.000,
25 ct.,Liberty Cap,27.00,6.74,89+24Silver10+76Copper,1820,Philadelphia,127.444,
25 ct.,Liberty Cap,27.00,6.74,89+24Silver10+76Copper,1821,Philadelphia,216.851,
25 ct.,Liberty Cap,27.00,6.74,89+24Silver10+76Copper,1822,Philadelphia,64.080,
25 ct.,Liberty Cap,27.00,6.74,89+24Silver10+76Copper,1823,Philadelphia,17.800,
25 ct.,Liberty Cap,27.00,6.74,89+24Silver10+76Copper,1824,Philadelphia,0,
25 ct.,Liberty Cap,27.00,6.74,89+24Silver10+76Copper,1825,Philadelphia,168.000,
25 ct.,Liberty Cap,27.00,6.74,89+24Silver10+76Copper,1827,Philadelphia,4.000,
25 ct.,Liberty Cap,27.00,6.74,89+24Silver10+76Copper,1828,Philadelphia,102.000,
25 ct.,Liberty Cap - No motto,24.30,6.74,89+24Silver10+76Copper,1831,Philadelphia,398.000,
25 ct.,Liberty Cap - No motto,24.30,6.74,89+24Silver10+76Copper,1832,Philadelphia,320.000,
25 ct.,Liberty Cap - No motto,24.30,6.74,89+24Silver10+76Copper,1833,Philadelphia,156.000,
25 ct.,Liberty Cap - No motto,24.30,6.74,89+24Silver10+76Copper,1834,Philadelphia,286.000,
25 ct.,Liberty Cap - No motto,24.30,6.74,89+24Silver10+76Copper,1835,Philadelphia,1.952.000,
25 ct.,Liberty Cap - No motto,24.30,6.74,89+24Silver10+76Copper,1836,Philadelphia,472.000,
25 ct.,Liberty Cap - No motto,24.30,6.74,89+24Silver10+76Copper,1837,Philadelphia,252.400,
25 ct.,Liberty Cap - No motto,24.30,6.74,89+24Silver10+76Copper,1838,Philadelphia,366.000,
25 ct.,Seated Liberty - No drapery,24.30,6.68,90Silver10Copper,1838,Philadelphia,466.000,
25 ct.,Seated Liberty - No drapery,24.30,6.68,90Silver10Copper,1839,Philadelphia,491.146,
25 ct.,Seated Liberty - No drapery,24.30,6.68,90Silver10Copper,1840,New Orleans,425.200,
25 ct.,Seated Liberty - Drapery added,24.30,6.68,90Silver10Copper,1840,Philadelphia,188.127,
25 ct.,Seated Liberty - Drapery added,24.30,6.68,90Silver10Copper,1840,New Orleans,0,
25 ct.,Seated Liberty - Drapery added,24.30,6.68,90Silver10Copper,1841,Philadelphia,120.000,
25 ct.,Seated Liberty - Drapery added,24.30,6.68,90Silver10Copper,1841,New Orleans,452.000,
25 ct.,Seated Liberty - Drapery added,24.30,6.68,90Silver10Copper,1842,Philadelphia,88.000,
25 ct.,Seated Liberty - Drapery added,24.30,6.68,90Silver10Copper,1842,New Orleans,769.000,
25 ct.,Seated Liberty - Drapery added,24.30,6.68,90Silver10Copper,1843,Philadelphia,645.600,
25 ct.,Seated Liberty - Drapery added,24.30,6.68,90Silver10Copper,1843,New Orleans,968.000,
25 ct.,Seated Liberty - Drapery added,24.30,6.68,90Silver10Copper,1844,Philadelphia,421.200,
25 ct.,Seated Liberty - Drapery added,24.30,6.68,90Silver10Copper,1844,New Orleans,740.000,
25 ct.,Seated Liberty - Drapery added,24.30,6.68,90Silver10Copper,1845,Philadelphia,922.000,
25 ct.,Seated Liberty - Drapery added,24.30,6.68,90Silver10Copper,1846,Philadelphia,510.000,
25 ct.,Seated Liberty - Drapery added,24.30,6.68,90Silver10Copper,1847,Philadelphia,734.000,
25 ct.,Seated Liberty - Drapery added,24.30,6.68,90Silver10Copper,1847,New Orleans,368.000,
25 ct.,Seated Liberty - Drapery added,24.30,6.68,90Silver10Copper,1848,Philadelphia,146.000,
25 ct.,Seated Liberty - Drapery added,24.30,6.68,90Silver10Copper,1849,Philadelphia,340.000,
25 ct.,Seated Liberty - Drapery added,24.30,6.68,90Silver10Copper,1849,New Orleans,0,
25 ct.,Seated Liberty - Drapery added,24.30,6.68,90Silver10Copper,1850,Philadelphia,190.800,
25 ct.,Seated Liberty - Drapery added,24.30,6.68,90Silver10Copper,1850,New Orleans,412.000,
25 ct.,Seated Liberty - Drapery added,24.30,6.68,90Silver10Copper,1851,Philadelphia,160.000,
25 ct.,Seated Liberty - Drapery added,24.30,6.68,90Silver10Copper,1851,New Orleans,88.000,
25 ct.,Seated Liberty - Drapery added,24.30,6.68,90Silver10Copper,1852,Philadelphia,177.060,
25 ct.,Seated Liberty - Drapery added,24.30,6.68,90Silver10Copper,1852,New Orleans,96.000,
25 ct.,Seated Liberty - Drapery added,24.30,6.68,90Silver10Copper,1853,Philadelphia,44.200,
25 ct.,"Seated Liberty - Arrows at date, reverse rays",24.30,6.68,90Silver10Copper,1853,Philadelphia,15.210.020,
25 ct.,"Seated Liberty - Arrows at date, reverse rays",24.30,6.68,90Silver10Copper,1853,New Orleans,1.332.000,
25 ct.,"Seated Liberty - Arrows at date, reverse rays removed",24.30,6.68,90Silver10Copper,1854,Philadelphia,12.380.000,
25 ct.,"Seated Liberty - Arrows at date, reverse rays removed",24.30,6.68,90Silver10Copper,1854,New Orleans,1.484.000,
25 ct.,"Seated Liberty - Arrows at date, reverse rays removed",24.30,6.68,90Silver10Copper,1855,Philadelphia,2.857.000,
25 ct.,"Seated Liberty - Arrows at date, reverse rays removed",24.30,6.68,90Silver10Copper,1855,New Orleans,176.000,
25 ct.,"Seated Liberty - Arrows at date, reverse rays removed",24.30,6.68,90Silver10Copper,1855,San Francisco,396.400,
25 ct.,Seated Liberty - Arrows at date removed,24.30,6.68,90Silver10Copper,1856,Philadelphia,7.264.000,
25 ct.,Seated Liberty - Arrows at date removed,24.30,6.68,90Silver10Copper,1856,New Orleans,968.000,
25 ct.,Seated Liberty - Arrows at date removed,24.30,6.68,90Silver10Copper,1856,San Francisco,286.000,
25 ct.,Seated Liberty - Arrows at date removed,24.30,6.68,90Silver10Copper,1857,Philadelphia,9.644.000,
25 ct.,Seated Liberty - Arrows at date removed,24.30,6.68,90Silver10Copper,1857,New Orleans,1.180.000,
25 ct.,Seated Liberty - Arrows at date removed,24.30,6.68,90Silver10Copper,1857,San Francisco,82.000,
25 ct.,Seated Liberty - Arrows at date removed,24.30,6.68,90Silver10Copper,1858,Philadelphia,7.368.000,
