denomination,variety_name,diameter,weight,composition,year,mint_name,mintage,notes
10 ct.,Draped Bust - Small eagle reverse,19.00,2.70,89+24Silver10+76Copper,1796,Philadelphia,22.135,
10 ct.,Draped Bust - Small eagle reverse,19.00,2.70,89+24Silver10+76Copper,1797,Philadelphia,25.261,
10 ct.,Draped Bust - Heraldic eagle reverse,19.00,2.70,89+24Silver10+76Copper,1798,Philadelphia,27.550,
10 ct.,Draped Bust - Heraldic eagle reverse,19.00,2.70,89+24Silver10+76Copper,1800,Philadelphia,21.760,
10 ct.,Draped Bust - Heraldic eagle reverse,19.00,2.70,89+24Silver10+76Copper,1801,Philadelphia,34.640,
10 ct.,Draped Bust - Heraldic eagle reverse,19.00,2.70,89+24Silver10+76Copper,1802,Philadelphia,10.975,
10 ct.,Draped Bust - Heraldic eagle reverse,19.00,2.70,89+24Silver10+76Copper,1803,Philadelphia,33.040,
10 ct.,Draped Bust - Heraldic eagle reverse,19.00,2.70,89+24Silver10+76Copper,1804,Philadelphia,8.265,
10 ct.,Draped Bust - Heraldic eagle reverse,19.00,2.70,89+24Silver10+76Copper,1805,Philadelphia,120.780,
10 ct.,Draped Bust - Heraldic eagle reverse,19.00,2.70,89+24Silver10+76Copper,1807,Philadelphia,165.000,
10 ct.,Lyberty Cap,18.80,2.70,89+24Silver10+76Copper,1809,Philadelphia,51.065,
10 ct.,Lyberty Cap,18.80,2.70,89+24Silver10+76Copper,1811,Philadelphia,65.180,
10 ct.,Lyberty Cap,18.80,2.70,89+24Silver10+76Copper,1814,Philadelphia,421.500,
10 ct.,Lyberty Cap,18.80,2.70,89+24Silver10+76Copper,1820,Philadelphia,942.587,
10 ct.,Lyberty Cap,18.80,2.70,89+24Silver10+76Copper,1821,Philadelphia,1.186.512,
10 ct.,Lyberty Cap,18.80,2.70,89+24Silver10+76Copper,1824,Philadelphia,0,
10 ct.,Lyberty Cap,18.80,2.70,89+24Silver10+76Copper,1825,Philadelphia,510.000,
10 ct.,Lyberty Cap,18.80,2.70,89+24Silver10+76Copper,1827,Philadelphia,1.215.000,
10 ct.,Lyberty Cap,18.80,2.70,89+24Silver10+76Copper,1828,Philadelphia,125.000,
10 ct.,Lyberty Cap - Reduced size,18.50,2.70,89+24Silver10+76Copper,1828,Philadelphia,0,
10 ct.,Lyberty Cap - Reduced size,18.50,2.70,89+24Silver10+76Copper,1829,Philadelphia,770.000,
