denomination,variety_name,diameter,weight,composition,year,mint_name,mintage,notes
50 ct.,Flowing Hair,32.50,13.48,89+24Silver10+76Copper,1794,Philadelphia,23.464,
50 ct.,Flowing Hair,32.50,13.48,89+24Silver10+76Copper,1795,Philadelphia,299.680,
50 ct.,Draped Bust - Small eagle reverse,32.50,13.48,89+24Silver10+76Copper,1796,Philadelphia,3.918,
50 ct.,Draped Bust - Small eagle reverse,32.50,13.48,89+24Silver10+76Copper,1797,Philadelphia,3.918,
50 ct.,Draped Bust - Heraldic eagle reverse,32.50,13.48,89+24Silver10+76Copper,1801,Philadelphia,30.289,
50 ct.,Draped Bust - Heraldic eagle reverse,32.50,13.48,89+24Silver10+76Copper,1802,Philadelphia,29.890,
50 ct.,Draped Bust - Heraldic eagle reverse,32.50,13.48,89+24Silver10+76Copper,1803,Philadelphia,188.234,
50 ct.,Draped Bust - Heraldic eagle reverse,32.50,13.48,89+24Silver10+76Copper,1805,Philadelphia,211.722,
50 ct.,Draped Bust - Heraldic eagle reverse,32.50,13.48,89+24Silver10+76Copper,1806,Philadelphia,839.576,
50 ct.,Draped Bust - Heraldic eagle reverse,32.50,13.48,89+24Silver10+76Copper,1807,Philadelphia,301.076,
50 ct.,Liberty Cap,32.50,13.48,89+24Silver10+76Copper,1807,Philadelphia,750.500,
50 ct.,Liberty Cap,32.50,13.48,89+24Silver10+76Copper,1808,Philadelphia,1.368.600,
50 ct.,Liberty Cap,32.50,13.48,89+24Silver10+76Copper,1809,Philadelphia,1.405.810,
50 ct.,Liberty Cap,32.50,13.48,89+24Silver10+76Copper,1810,Philadelphia,1.276.276,
50 ct.,Liberty Cap,32.50,13.48,89+24Silver10+76Copper,1811,Philadelphia,1.203.644,
50 ct.,Liberty Cap,32.50,13.48,89+24Silver10+76Copper,1812,Philadelphia,1.628.059,
50 ct.,Liberty Cap,32.50,13.48,89+24Silver10+76Copper,1813,Philadelphia,1.241.903,
50 ct.,Liberty Cap,32.50,13.48,89+24Silver10+76Copper,1814,Philadelphia,1.039.075,
