denomination,variety_name,diameter,weight,composition,year,mint_name,mintage,notes
20 $,"Coronet Head - Twenty D., no motto",34.00,33.44,90Goldand10Copper,1849,Philadelphia,0,Only as Proof
20 $,"Coronet Head - Twenty D., no motto",34.00,33.44,90Goldand10Copper,1850,Philadelphia,1.170.261,
20 $,"Coronet Head - Twenty D., no motto",34.00,33.44,90Goldand10Copper,1850,New Orleans,141.000,
20 $,"Coronet Head - Twenty D., no motto",34.00,33.44,90Goldand10Copper,1851,Philadelphia,2.087.155,
20 $,"Coronet Head - Twenty D., no motto",34.00,33.44,90Goldand10Copper,1851,New Orleans,315.000,
20 $,"Coronet Head - Twenty D., no motto",34.00,33.44,90Goldand10Copper,1852,Philadelphia,2.053.026,
20 $,"Coronet Head - Twenty D., no motto",34.00,33.44,90Goldand10Copper,1852,New Orleans,190.000,
20 $,"Coronet Head - Twenty D., no motto",34.00,33.44,90Goldand10Copper,1853,Philadelphia,1.261.326,
20 $,"Coronet Head - Twenty D., no motto",34.00,33.44,90Goldand10Copper,1853,New Orleans,71.000,
20 $,"Coronet Head - Twenty D., no motto",34.00,33.44,90Goldand10Copper,1854,Philadelphia,757.899,
20 $,"Coronet Head - Twenty D., no motto",34.00,33.44,90Goldand10Copper,1854,New Orleans,3.250,
20 $,"Coronet Head - Twenty D., no motto",34.00,33.44,90Goldand10Copper,1854,San Francisco,141.468,
20 $,"Coronet Head - Twenty D., no motto",34.00,33.44,90Goldand10Copper,1855,Philadelphia,364.666,
20 $,"Coronet Head - Twenty D., no motto",34.00,33.44,90Goldand10Copper,1855,New Orleans,8.000,
20 $,"Coronet Head - Twenty D., no motto",34.00,33.44,90Goldand10Copper,1855,San Francisco,879.675,
20 $,"Coronet Head - Twenty D., no motto",34.00,33.44,90Goldand10Copper,1856,Philadelphia,329.878,
20 $,"Coronet Head - Twenty D., no motto",34.00,33.44,90Goldand10Copper,1856,New Orleans,2.250,
20 $,"Coronet Head - Twenty D., no motto",34.00,33.44,90Goldand10Copper,1856,San Francisco,1.189.750,
20 $,"Coronet Head - Twenty D., no motto",34.00,33.44,90Goldand10Copper,1857,Philadelphia,439.375,
20 $,"Coronet Head - Twenty D., no motto",34.00,33.44,90Goldand10Copper,1857,New Orleans,30.000,
20 $,"Coronet Head - Twenty D., no motto",34.00,33.44,90Goldand10Copper,1857,San Francisco,970.500,
20 $,"Coronet Head - Twenty D., no motto",34.00,33.44,90Goldand10Copper,1858,Philadelphia,211.714,
20 $,"Coronet Head - Twenty D., no motto",34.00,33.44,90Goldand10Copper,1858,New Orleans,35.250,
20 $,"Coronet Head - Twenty D., no motto",34.00,33.44,90Goldand10Copper,1858,San Francisco,846.710,
20 $,"Coronet Head - Twenty D., no motto",34.00,33.44,90Goldand10Copper,1859,Philadelphia,43.597,
20 $,"Coronet Head - Twenty D., no motto",34.00,33.44,90Goldand10Copper,1859,New Orleans,9.100,
20 $,"Coronet Head - Twenty D., no motto",34.00,33.44,90Goldand10Copper,1859,San Francisco,636.445,
20 $,"Coronet Head - Twenty D., no motto",34.00,33.44,90Goldand10Copper,1860,Philadelphia,577.670,
20 $,"Coronet Head - Twenty D., no motto",34.00,33.44,90Goldand10Copper,1860,New Orleans,6.600,
20 $,"Coronet Head - Twenty D., no motto",34.00,33.44,90Goldand10Copper,1860,San Francisco,544.950,
20 $,"Coronet Head - Twenty D., no motto",34.00,33.44,90Goldand10Copper,1861,Philadelphia,2.976.453,
20 $,"Coronet Head - Twenty D., no motto",34.00,33.44,90Goldand10Copper,1861,New Orleans,17.741,
20 $,"Coronet Head - Twenty D., no motto",34.00,33.44,90Goldand10Copper,1861,San Francisco,768.000,
20 $,"Coronet Head - Twenty D., no motto",34.00,33.44,90Goldand10Copper,1862,Philadelphia,92.133,
20 $,"Coronet Head - Twenty D., no motto",34.00,33.44,90Goldand10Copper,1862,San Francisco,854.173,
20 $,"Coronet Head - Twenty D., no motto",34.00,33.44,90Goldand10Copper,1863,Philadelphia,142.790,
20 $,"Coronet Head - Twenty D., no motto",34.00,33.44,90Goldand10Copper,1863,San Francisco,966.570,
20 $,"Coronet Head - Twenty D., no motto",34.00,33.44,90Goldand10Copper,1864,Philadelphia,204.235,
20 $,"Coronet Head - Twenty D., no motto",34.00,33.44,90Goldand10Copper,1864,San Francisco,793.660,
20 $,"Coronet Head - Twenty D., no motto",34.00,33.44,90Goldand10Copper,1865,Philadelphia,351.175,
20 $,"Coronet Head - Twenty D., no motto",34.00,33.44,90Goldand10Copper,1865,San Francisco,1.042.500,
20 $,"Coronet Head - Twenty D., no motto",34.00,33.44,90Goldand10Copper,1866,San Francisco,12.000,
20 $,"Coronet Head - Twenty D., with motto",34.00,33.44,90Goldand10Copper,1866,Philadelphia,698.745,
20 $,"Coronet Head - Twenty D., with motto",34.00,33.44,90Goldand10Copper,1866,San Francisco,842.250,
20 $,"Coronet Head - Twenty D., with motto",34.00,33.44,90Goldand10Copper,1867,Philadelphia,251.015,
20 $,"Coronet Head - Twenty D., with motto",34.00,33.44,90Goldand10Copper,1867,San Francisco,920.750,
20 $,"Coronet Head - Twenty D., with motto",34.00,33.44,90Goldand10Copper,1868,Philadelphia,98.575,
20 $,"Coronet Head - Twenty D., with motto",34.00,33.44,90Goldand10Copper,1868,San Francisco,837.500,
20 $,"Coronet Head - Twenty D., with motto",34.00,33.44,90Goldand10Copper,1869,Philadelphia,175.130,
20 $,"Coronet Head - Twenty D., with motto",34.00,33.44,90Goldand10Copper,1869,San Francisco,686.750,
20 $,"Coronet Head - Twenty D., with motto",34.00,33.44,90Goldand10Copper,1870,Philadelphia,155.150,
20 $,"Coronet Head - Twenty D., with motto",34.00,33.44,90Goldand10Copper,1870,Carson City,3.789,
20 $,"Coronet Head - Twenty D., with motto",34.00,33.44,90Goldand10Copper,1870,San Francisco,982.000,
20 $,"Coronet Head - Twenty D., with motto",34.00,33.44,90Goldand10Copper,1871,Philadelphia,80.120,
20 $,"Coronet Head - Twenty D., with motto",34.00,33.44,90Goldand10Copper,1871,Carson City,17.387,
20 $,"Coronet Head - Twenty D., with motto",34.00,33.44,90Goldand10Copper,1871,San Francisco,928.000,
20 $,"Coronet Head - Twenty D., with motto",34.00,33.44,90Goldand10Copper,1872,Philadelphia,251.850,
20 $,"Coronet Head - Twenty D., with motto",34.00,33.44,90Goldand10Copper,1872,Carson City,26.900,
20 $,"Coronet Head - Twenty D., with motto",34.00,33.44,90Goldand10Copper,1872,San Francisco,780.000,
20 $,"Coronet Head - Twenty D., with motto",34.00,33.44,90Goldand10Copper,1873,Philadelphia,1.709.800,
20 $,"Coronet Head - Twenty D., with motto",34.00,33.44,90Goldand10Copper,1873,Carson City,22.410,
20 $,"Coronet Head - Twenty D., with motto",34.00,33.44,90Goldand10Copper,1873,San Francisco,1.040.600,
20 $,"Coronet Head - Twenty D., with motto",34.00,33.44,90Goldand10Copper,1874,Philadelphia,366.780,
20 $,"Coronet Head - Twenty D., with motto",34.00,33.44,90Goldand10Copper,1874,Carson City,115.085,
20 $,"Coronet Head - Twenty D., with motto",34.00,33.44,90Goldand10Copper,1874,San Francisco,1.214.000,
20 $,"Coronet Head - Twenty D., with motto",34.00,33.44,90Goldand10Copper,1875,Philadelphia,295.720,
20 $,"Coronet Head - Twenty D., with motto",34.00,33.44,90Goldand10Copper,1875,Carson City,111.151,
20 $,"Coronet Head - Twenty D., with motto",34.00,33.44,90Goldand10Copper,1875,San Francisco,1.230.000,
20 $,"Coronet Head - Twenty D., with motto",34.00,33.44,90Goldand10Copper,1876,Philadelphia,583.860,
20 $,"Coronet Head - Twenty D., with motto",34.00,33.44,90Goldand10Copper,1876,Carson City,138.441,
20 $,"Coronet Head - Twenty D., with motto",34.00,33.44,90Goldand10Copper,1876,San Francisco,1.597.000,
20 $,Coronet Head - Twenty Dollars,34.00,33.44,90Goldand10Copper,1877,Philadelphia,397.650,
20 $,Coronet Head - Twenty Dollars,34.00,33.44,90Goldand10Copper,1877,Carson City,42.565,
20 $,Coronet Head - Twenty Dollars,34.00,33.44,90Goldand10Copper,1877,San Francisco,1.735.000,
20 $,Coronet Head - Twenty Dollars,34.00,33.44,90Goldand10Copper,1878,Philadelphia,543.625,
20 $,Coronet Head - Twenty Dollars,34.00,33.44,90Goldand10Copper,1878,Carson City,13.180,
20 $,Coronet Head - Twenty Dollars,34.00,33.44,90Goldand10Copper,1878,San Francisco,1.739.000,
20 $,Coronet Head - Twenty Dollars,34.00,33.44,90Goldand10Copper,1879,Philadelphia,207.600,
20 $,Coronet Head - Twenty Dollars,34.00,33.44,90Goldand10Copper,1879,Carson City,10.708,
20 $,Coronet Head - Twenty Dollars,34.00,33.44,90Goldand10Copper,1879,New Orleans,2.325,
20 $,Coronet Head - Twenty Dollars,34.00,33.44,90Goldand10Copper,1879,San Francisco,1.223.800,
20 $,Coronet Head - Twenty Dollars,34.00,33.44,90Goldand10Copper,1880,Philadelphia,51.420,
20 $,Coronet Head - Twenty Dollars,34.00,33.44,90Goldand10Copper,1880,San Francisco,836.000,
20 $,Coronet Head - Twenty Dollars,34.00,33.44,90Goldand10Copper,1881,Philadelphia,2.199,
20 $,Coronet Head - Twenty Dollars,34.00,33.44,90Goldand10Copper,1881,San Francisco,727.000,
20 $,Coronet Head - Twenty Dollars,34.00,33.44,90Goldand10Copper,1882,Philadelphia,571,
20 $,Coronet Head - Twenty Dollars,34.00,33.44,90Goldand10Copper,1882,Carson City,39.140,
20 $,Coronet Head - Twenty Dollars,34.00,33.44,90Goldand10Copper,1882,San Francisco,1.125.000,
20 $,Coronet Head - Twenty Dollars,34.00,33.44,90Goldand10Copper,1883,Philadelphia,0,Only as Proofs
20 $,Coronet Head - Twenty Dollars,34.00,33.44,90Goldand10Copper,1883,Carson City,59.962,
20 $,Coronet Head - Twenty Dollars,34.00,33.44,90Goldand10Copper,1883,San Francisco,1.189.000,
20 $,Coronet Head - Twenty Dollars,34.00,33.44,90Goldand10Copper,1884,Philadelphia,0,Only as Proofs
20 $,Coronet Head - Twenty Dollars,34.00,33.44,90Goldand10Copper,1884,Carson City,81.139,
20 $,Coronet Head - Twenty Dollars,34.00,33.44,90Goldand10Copper,1884,San Francisco,916.000,
20 $,Coronet Head - Twenty Dollars,34.00,33.44,90Goldand10Copper,1885,Philadelphia,751,
20 $,Coronet Head - Twenty Dollars,34.00,33.44,90Goldand10Copper,1885,Carson City,9.450,
20 $,Coronet Head - Twenty Dollars,34.00,33.44,90Goldand10Copper,1885,San Francisco,683.500,
20 $,Coronet Head - Twenty Dollars,34.00,33.44,90Goldand10Copper,1886,Philadelphia,1.000,
20 $,Coronet Head - Twenty Dollars,34.00,33.44,90Goldand10Copper,1887,Philadelphia,0,Only as Proofs
20 $,Coronet Head - Twenty Dollars,34.00,33.44,90Goldand10Copper,1887,San Francisco,283.000,
20 $,Coronet Head - Twenty Dollars,34.00,33.44,90Goldand10Copper,1888,Philadelphia,226.161,
20 $,Coronet Head - Twenty Dollars,34.00,33.44,90Goldand10Copper,1888,San Francisco,859.600,
20 $,Coronet Head - Twenty Dollars,34.00,33.44,90Goldand10Copper,1889,Philadelphia,44.070,
20 $,Coronet Head - Twenty Dollars,34.00,33.44,90Goldand10Copper,1889,Carson City,30.945,
20 $,Coronet Head - Twenty Dollars,34.00,33.44,90Goldand10Copper,1889,San Francisco,774.700,
20 $,Coronet Head - Twenty Dollars,34.00,33.44,90Goldand10Copper,1890,Philadelphia,75.940,
20 $,Coronet Head - Twenty Dollars,34.00,33.44,90Goldand10Copper,1890,Carson City,91.209,
20 $,Coronet Head - Twenty Dollars,34.00,33.44,90Goldand10Copper,1890,San Francisco,802.750,
20 $,Coronet Head - Twenty Dollars,34.00,33.44,90Goldand10Copper,1891,Philadelphia,1.390,
20 $,Coronet Head - Twenty Dollars,34.00,33.44,90Goldand10Copper,1891,Carson City,5.000,
20 $,Coronet Head - Twenty Dollars,34.00,33.44,90Goldand10Copper,1891,San Francisco,1.288.125,
20 $,Coronet Head - Twenty Dollars,34.00,33.44,90Goldand10Copper,1892,Philadelphia,4.430,
20 $,Coronet Head - Twenty Dollars,34.00,33.44,90Goldand10Copper,1892,Carson City,27.265,
20 $,Coronet Head - Twenty Dollars,34.00,33.44,90Goldand10Copper,1892,San Francisco,930.150,
20 $,Coronet Head - Twenty Dollars,34.00,33.44,90Goldand10Copper,1893,Philadelphia,344.280,
20 $,Coronet Head - Twenty Dollars,34.00,33.44,90Goldand10Copper,1893,Carson City,18.402,
20 $,Coronet Head - Twenty Dollars,34.00,33.44,90Goldand10Copper,1893,San Francisco,996.175,
20 $,Coronet Head - Twenty Dollars,34.00,33.44,90Goldand10Copper,1894,Philadelphia,1.368.940,
20 $,Coronet Head - Twenty Dollars,34.00,33.44,90Goldand10Copper,1894,San Francisco,1.048.550,
20 $,Coronet Head - Twenty Dollars,34.00,33.44,90Goldand10Copper,1895,Philadelphia,1.114.605,
20 $,Coronet Head - Twenty Dollars,34.00,33.44,90Goldand10Copper,1895,San Francisco,1.143.500,
20 $,Coronet Head - Twenty Dollars,34.00,33.44,90Goldand10Copper,1896,Philadelphia,792.535,
20 $,Coronet Head - Twenty Dollars,34.00,33.44,90Goldand10Copper,1896,San Francisco,1.403.925,
20 $,Coronet Head - Twenty Dollars,34.00,33.44,90Goldand10Copper,1897,Philadelphia,1.383.175,
